exp_name,run_id,preset_name,model_name,seed,img_size,batch_size,epochs_ran,best_epoch,best_val_accuracy,best_val_f1_macro,test_accuracy,test_f1_macro,low_confidence_threshold,ambiguity_gap_threshold,n_test_errors,n_test_low_confidence,n_test_ambiguous,run_notes,run_art_dir,best_checkpoint
cls_resnet50_img224_seed42_20260504_145957,20260504_145957,resnet50_a,resnet50,42,224,128,18,18,0.8715046604527297,0.7666367637736983,0.8628495339547271,0.7681522012145432,0.5,0.1,206,863,74,v2-selection-phase,data\processed\05_runs\cls_resnet50_img224_seed42_20260504_145957,models\05_train_real\cls_resnet50_img224_seed42_20260504_145957\best.pt
cls_resnet50_img224_seed43_20260504_160013,20260504_160013,resnet50_a,resnet50,43,224,128,9,6,0.7949400798934754,0.7187392784045269,0.7782956058588548,0.6847599874017174,0.5,0.1,333,904,166,v2-selection-phase,data\processed\05_runs\cls_resnet50_img224_seed43_20260504_160013,models\05_train_real\cls_resnet50_img224_seed43_20260504_160013\best.pt
cls_resnet50_img224_seed44_20260504_163054,20260504_163054,resnet50_a,resnet50,44,224,128,18,17,0.8781624500665779,0.7972110731969932,0.8635153129161118,0.7833161771225755,0.5,0.1,205,902,70,v2-selection-phase,data\processed\05_runs\cls_resnet50_img224_seed44_20260504_163054,models\05_train_real\cls_resnet50_img224_seed44_20260504_163054\best.pt
